Graph#,dirname,filename,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,data_record_technique,time_span,resolution,time_span_per_day,population_type,attributes_available,Citation,
14,arabianbabbler_foraging_weighted,dragic_babbler14.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
15,arabianbabbler_physical_contact_weighted,dragic_babbler15.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
16,arabianbabbler_association_weighted,dragic_babbler16.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
17,arabianbabbler_dominance_weighted,dragic_babbler17.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
18,arabianbabbler_food_sharing_weighted,dragic_babbler18.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
19,arabianbabbler_grooming_weighted,dragic_babbler19.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
20,arabianbabbler_foraging_weighted,dragic_babbler20.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
21,arabianbabbler_physical_contact_weighted,dragic_babbler21.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
22,arabianbabbler_association_weighted,dragic_babbler22.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
23,arabianbabbler_food_sharing_weighted,dragic_babbler24.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
24,arabianbabbler_grooming_weighted,dragic_babbler25.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
25,arabianbabbler_foraging_weighted,dragic_babbler26.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
26,arabianbabbler_physical_contact_weighted,dragic_babbler27.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
27,arabianbabbler_association_weighted,dragic_babbler28.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
28,arabianbabbler_dominance_weighted,dragic_babbler29.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
29,arabianbabbler_food_sharing_weighted,dragic_babbler30.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
30,arabianbabbler_grooming_weighted,dragic_babbler31.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
31,arabianbabbler_foraging_weighted,dragic_babbler32.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
32,arabianbabbler_physical_contact_weighted,dragic_babbler33.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
33,arabianbabbler_association_weighted,dragic_babbler34.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
34,arabianbabbler_dominance_weighted,dragic_babbler35.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
35,arabianbabbler_food_sharing_weighted,dragic_babbler36.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
36,arabianbabbler_grooming_weighted,dragic_babbler37.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
37,arabianbabbler_foraging_weighted,dragic_babbler38.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
38,arabianbabbler_physical_contact_weighted,dragic_babbler39.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
39,arabianbabbler_association_weighted,dragic_babbler40.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
40,arabianbabbler_dominance_weighted,dragic_babbler41.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
41,arabianbabbler_food_sharing_weighted,dragic_babbler42.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
42,arabianbabbler_grooming_weighted,dragic_babbler43.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
43,arabianbabbler_foraging_weighted,dragic_babbler44.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
44,arabianbabbler_physical_contact_weighted,dragic_babbler45.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
45,arabianbabbler_association_weighted,dragic_babbler46.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
46,arabianbabbler_dominance_weighted,dragic_babbler47.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
47,arabianbabbler_food_sharing_weighted,dragic_babbler48.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
48,arabianbabbler_grooming_weighted,dragic_babbler49.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
49,arabianbabbler_foraging_weighted,dragic_babbler50.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
50,arabianbabbler_physical_contact_weighted,dragic_babbler51.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
51,arabianbabbler_association_weighted,dragic_babbler52.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
52,arabianbabbler_dominance_weighted,dragic_babbler53.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
53,arabianbabbler_food_sharing_weighted,dragic_babbler54.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
54,arabianbabbler_grooming_weighted,dragic_babbler55.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
55,arabianbabbler_foraging_weighted,dragic_babbler56.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
