Network_ID,Network_Identifier,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
Network_781.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,44,0.978,9,8.8,0.4,0.045,-2.083,0.2,0.052,0.26,0.023,0.011,0.478,0.291,-0.222,0.003,0.001,0.003472222,0.068,0.104,0.293981481,0.978,0.522,0.977,0,0,NA,1,1,10,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_782.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,45,1,9,9,0,0,NA,0.2,0.047,0.235,0.022,0.009,0.409,0.277,,0,0,0,0.035,0.095,0.319444444,1,0.44,1,0,0,NA,1,1,10,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_783.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,28,0.622,8,5.6,2.332,0.416,-1.227,0.2,0.147,0.735,0.036,0.03,0.833,0.411,-0.346,0.05,0.077,0.243055556,0.138,0.169,0.488425926,0.78,0.235,0.808,0.035,0.499,0.07,0.535714286,2,5,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_784.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,37,0.822,9,7.4,1.428,0.193,-1.294,0.2,0.131,0.655,0.027,0.032,1.185,0.498,-0.286,0.022,0.021,0.052579365,0.095,0.071,0.216071429,0.875,0.145,0.85,0.017,0.477,0.036,0.540540541,2,5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_785.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,4,6,2,0.133,1,0.667,0.471,0.706,-1.28,0.333,0.312,0.937,0.5,0.25,0.5,0.75,,0,0,0,0,0,0,0,0,0,0,0,NA,0.499750125,1,2,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_786.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,12,0.8,5,4,0.577,0.144,0,0.333,0.057,0.171,0.083,0.056,0.675,0.423,-0.277,0.05,0.026,0.091666667,0.156,0.145,0.4,0.728,0.26,0.73,0,0.5,0,0.5,2,3,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_787.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,15,1,5,5,0,0,NA,0.333,0.022,0.066,0.067,0.013,0.194,0.364,,0,0,0,0,0,0,1,0.724,1,0,0,NA,1,1,6,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_788.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,15,1,5,5,0,0,NA,0.333,0.077,0.231,0.067,0.027,0.403,0.484,,0,0,0,0.033,0.075,0.2,1,0.504,1,0,0,NA,1,1,6,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_789.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,45,1,9,9,0,0,NA,0.2,0.037,0.185,0.022,0.007,0.318,0.232,,0,0,0,0.058,0.175,0.583333333,1,0.634,1,0,0,NA,1,1,10,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_790.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,37,0.822,9,7.4,1.908,0.258,-2.966,0.2,0.111,0.555,0.027,0.019,0.704,0.33,-0.299,0.022,0.04,0.101190476,0.133,0.222,0.722222222,0.938,0.325,0.918,0.016,0.394,0.041,0.621621622,2,5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_791.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,40,0.889,9,8,0.894,0.112,-1.166,0.2,0.056,0.28,0.025,0.018,0.72,0.27,-0.154,0.014,0.006,0.021825397,0.098,0.107,0.331018519,0.888,0.259,0.887,0,0.5,0,0.5,2,5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_792.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,16,0.356,7,3.2,1.72,0.538,1.205,0.2,0.124,0.62,0.062,0.046,0.742,0.531,-0.417,0.097,0.15,0.50462963,0.118,0.168,0.449074074,0.497,0.099,0.36,0.189,0.627,0.301,0.5625,3,3.333333333,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_793.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,6,10,4,0.089,3,0.8,0.872,1.09,1.81,0.2,0.237,1.185,0.25,0.087,0.348,0.8,-0.6,0.008,0.025,0.083333333,0.008,0.025,0.083333333,0,0,0,0,0,NA,0.75,1,4,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_794.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,45,1,9,9,0,0,NA,0.2,0.081,0.405,0.022,0.017,0.773,0.329,,0,0,0,0.094,0.205,0.6875,1,0.241,1,0,0,NA,1,1,10,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_795.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,45,1,9,9,0,0,NA,0.2,0.032,0.16,0.022,0.006,0.273,0.248,,0,0,0,0.017,0.05,0.166666667,1,0.602,1,0,0,NA,1,1,10,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_796.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,8,10,2,0.044,1,0.4,0.49,1.225,0.567,0.2,0.267,1.335,0.5,0.167,0.334,0.667,,0,0,0,0,0,0,0,0,0,0,0,NA,0.5,1,2,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_797.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,26,0.578,9,5.2,1.939,0.373,0.293,0.2,0.1,0.5,0.038,0.022,0.579,0.356,-0.361,0.053,0.075,0.266203704,0.087,0.103,0.380092593,0.729,0.286,0.633,0.082,0.659,0.124,0.423076923,3,3.333333333,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_798.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,8,14,0.5,5,3.5,1.118,0.319,0,0.25,0.067,0.268,0.071,0.039,0.549,0.317,-0.209,0.101,0.097,0.281746032,0.145,0.126,0.349206349,0.654,0.409,0.525,0.173,0.459,0.377,0.714285714,2,4,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_799.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,2,6,7,0.467,4,2.333,1.374,0.589,-1.104,0.333,0.251,0.754,0.143,0.091,0.636,0.625,-0.556,0.05,0.112,0.3,0.1,0.141,0.3,0.583,0.276,0.8,0.031,0.459,0.068,0.571510216,2,2.5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_800.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,8,15,0.536,6,3.75,1.392,0.371,0.265,0.25,0.111,0.444,0.067,0.039,0.582,0.481,-0.374,0.083,0.087,0.241269841,0.12,0.092,0.293650794,0.683,0.291,0.551,0.098,0.498,0.197,0.6,2,4,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_801.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,8,28,1,7,7,0,0,NA,0.25,0.058,0.232,0.036,0.018,0.5,0.336,,0,0,0,0.086,0.1,0.285714286,1,0.441,1,0,0,NA,1,1,8,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_802.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,8,28,1,7,7,0,0,NA,0.25,0.034,0.136,0.036,0.008,0.222,0.313,,0,0,0,0,0,0,1,0.649,1,0,0,NA,1,1,8,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_803.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,3,8,13,0.464,5,3.25,1.92,0.591,-1.514,0.25,0.183,0.732,0.077,0.046,0.597,0.543,-0.3,0.012,0.008,0.023809524,0.045,0.052,0.119047619,0.617,0.231,0.818,0,0,NA,1,1,6,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_804.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,8,21,0.75,7,5.25,0.968,0.184,0.472,0.25,0.078,0.312,0.048,0.031,0.646,0.375,-0.241,0.042,0.028,0.103174603,0.083,0.108,0.349206349,0.762,0.261,0.742,0.031,0.459,0.068,0.571428571,2,4,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_805.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,15,1,5,5,0,0,NA,0.333,0.073,0.219,0.067,0.036,0.537,0.429,,0,0,0,0.1,0.135,0.325,1,0.415,1,0,0,NA,1,1,6,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_806.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,9,20,0.556,7,4.444,1.892,0.426,-0.23,0.222,0.126,0.568,0.05,0.029,0.58,0.41,-0.433,0.067,0.103,0.321428571,0.114,0.12,0.313095238,0.705,0.314,0.671,0.119,0.469,0.254,0.650065007,2,4.5,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
